,text,class
49,招行的信用卡分期还不错，手里有几笔消费，分期手续费比想象中便宜，总体感觉一般。,2
50,前几天在招商银行买了个“财富管理计划”，收益率竟然有4.5%，感觉还不错，值得一试！,1
51,最近在工商银行的“理财通”上亏了点，原本预期的收益完全没达成，真是让人心凉，得多查查了解了。,0
52,觉得中国建设银行的“定期存款”还不错，利率2.25%算是比较高的，存款期满后可以获得利息，简单明了，挺稳妥！,1
53,中信银行的“信用卡分期”服务用了几次，利率倒是一般，但还款方式比较灵活，能缓解一下资金压力。,2
54,之前在浦发银行开的“阳光存款”，收益看似不错，但服务态度真心不敢恭维，让人觉得不太舒服，还是要多考虑其他银行。,0
55,最近办了工商银行的定期存款，利率还是不错的，年利率2.75%，这样算下来10万能有2750块的收益，感觉还是挺划算的，首选的安全投资方式，点赞！,1
56,我之前在建设银行买过一款理财产品，说是保证收益的，结果到期时候只有6%的收益，感觉有点失望，本以为会更多，低于预期，希望下次能找到更好的投资！,2
57,一直在用招商银行的信用卡，积分兑换挺多的，上个月消费满5000元，竟然还赢得了300元的返现，真心觉得这张卡值，算下来相当于打了折，满意！,3
58,前几天申请了邮储银行的消费贷款，额度给了我2万，利率3.5%，按月还款也不算太压力，挺方便的，处理速度也快，整体感觉还行，但就是客服态度有些冷淡！,4
59,去年买的农业银行的一款基金，收益率波动得厉害，一开始涨得不错，结果后来又跌回来了，心里还是挺忐忑的，希望未来能有所回暖，至少不赔本就好。,5
60,0 用工行的信用卡感觉真心不划算，月息好像能到0.75%，每次还款都觉得心累，真是个坑啊。,1
61,1 最近办理了建行的定期存款，利率2.5%，感觉还不错，至少比活期好太多了，心里踏实。,2
62,2 交行的理财产品我投了个“汇盈”，但是收益也就年化4.5%，感觉没啥惊喜，普通水平。,3
63,1 中行的“年轻人专属贷款”超给力，放款速度快到惊人，6万块我只用了不到一天就到账，非常满意哦！,4
64,0 招行的新基金产品让我有些失望，入场费高达1%，而且这几个月都没看到啥涨幅，真是心累。,5
65,工行的理财产品收益还不错，这个“工银理财宝”年化能达到4.2%，到账快得很，真心不错，心情蛮好，推荐给朋友了！,1
66,兴业银行的信用卡真是让我失望，额度只有3000，活动力度也不大，前几天攒积分活动竟然不给刷，感觉有点坑人，真心不想再用了。,2
67,我在平安银行买了他们的定期储蓄，3年期的利率才2.75%，收益实在是太低了，感觉和其他银行比起来没有竞争力，我的存款没怎么长，心里有点不舒服。,3
68,农行的住房贷款办理速度还算可以，虽然材料流程有点繁琐，但一期利率能锁定在4.9%还是挺划算的，整体体验中规中矩，没啥特别惊喜。,4
69,招商银行的ETC卡使用体验不错，免去不少通行费，还能享受返现活动，虽然返现不多，但开车出行时就能享受便捷，感觉值回票价，心情还算满意！,5
70,工行的定期存款利率真是低得可怜，才1.5%，不如余额宝的利息高，真是无奈啊！,1
71,招行信用卡的积分政策算是不错，每消费1元就能积1分，最近用它买了个大件，居然积分还挺多，真的很划算！,1
72,农行的理财产品收益很不稳定，我买了个编号是AB123的产品，上个月到期才给了个3%的收益，心里真不是滋味。,0
73,广发的消费贷款申请流程有点繁琐，我提供了很多材料好几天才通过，算是中规中矩的体验。,2
74,建行的房贷利率折扣不错，拿到了4.35%，感觉相比市面上的利率还是挺优惠的，帮我省下不少钱！,1
75,这张工行的定期存款利率真是太低了，才2.25%，跟其他银行比起来完全不划算，真希望能提高一点！,1
76,中信银行的信用卡额度真是太低了，我申请了好久，才给我3000，不知道有什么用，每次消费都要考虑很久。,0
77,经过几个月的体验，光大银行的理财产品收益还不错，像那个“月月赢”，年化收益率达到4.5%，还是值得投资的！,1
78,建行的活期宝倒是蛮方便的，随时可以取出，虽然收益只有1.5%，但存着总比放着好，最近也在继续关注。,2
79,我在农行开了个账户，结果居然弄错了开户类型，费了半天劲才弄清楚，真是心累，希望他们能改进一下服务！,0
80,我在招商银行办的“招财宝”真不错，年化收益达到4.2%，这段时间投资感觉很划算！,1
81,我觉得建设银行的存款利率真是太低了，才0.3%，根本不划算，完全跟不上通货膨胀！,0
82,最近看到平安银行的信用卡有满减活动，具体规则还不清楚，不知道能不能省到钱。,2
83,工商银行的理财产品收益还不错，像这款“稳盈”产品，最近收益率大约在5.0%，感觉挺安心的！,1
84,我在农业银行开的账户总是被莫名扣费，联系客服也不解决，真的是很糟心。,0
85,最近在工商银行买了理财产品，叫“智盈计划”，年化收益率居然有4.5%，感觉还不错，虽然流动性差了点，但总体收益挺满意的！,1
86,交行的“活期宝”真心不错！随时可以存取，主要是7天年化利率能达到4.0%，感觉比普通活期强多了，适合我这种懒人的理财方式，点赞！,1
87,前阵子在农业银行申请的信用贷款居然被拒了，客服说是逾期记录影响了，真心懵逼，明明信用卡用得还不错，没想到影响这么大，感觉他们审核蛮严格，让我很失望。,0
88,光大银行的“阳光存款”利率算是个中规中矩的选择，年利率只有2.5%，相比其他银行其实没啥突出之处，不过也算稳妥，我也不奢求什么高收益。,2
89,经过仔细比较，我选择了建行的“定期存款”产品，利率是3.1%，虽然是定存但是可以选择3个月起存，整体还算灵活，存了十万，心里踏实多了！,1
90,我刚投资了招商银行的定期存款，利率居然有3.5%，比我想象的高多了，非常满意！感觉能稳稳收益，也不会麻烦。,1
91,这家建设银行的个人贷款真是让人失望，审批放款速度太慢，申请了一个月才放款，期间还一直打电话催，真心感到不爽。,0
92,平安的意外险听说是不错的，保障范围也挺全的，但是具体理赔过程怎么样还不太了解，等我用过之后再来分享吧。,2
93,用了工商银行的信用卡，除了消费返现我还参加了他们的积分活动，真的感觉到赚到不少，限量兑换礼品也很吸引我，整体体验很棒！,1
94,这赵姓的中信银行的理财产品，宣传的收益率有点夸张，到期后发现收益比预期少了好多，感觉有些像被忽悠，超失望的。,0
95,中信银行的“活期宝”真的挺不错的，收益率比大多数活期存款高，最近我放进去了一万，月利息居然可以达到35元，虽然不算特别高，但比定期少锁定时间，灵活方便，支持随时取出，推荐给大家！,1
96,工商银行的“新户送体验金”活动真是太坑了，注册了没多久就被告知需要满足很多条件才能提现，感觉有点虚假宣传，甚至连一毛钱都没能挣到，完全不推荐！,2
97,我买了建设银行的信用卡，在某次买大件的时候享受分期免息，但最后他们收手续费和年费，算下来反而划不来，心里真有点不爽，感觉这个产品不值得。,0
98,我最近在农业银行开了个定期存款账户，存了一年，利率4.25%，收益还不错，虽然不能动，但想着安全，还是挺满意的，值得一试！,1
99,招商银行的理财产品我还在考量中，收益在6%左右，但我看了一些评论，有点担心风险，特别是如果市场动荡的话，可能影响到账时间，先观察观察吧！,2
100,中信银行的智能存款产品真是不错，年利率高达4.0%，而且到账也快，值得考虑！,1
101,建行的房贷利率居然这么高，5.2%的利率让我太心痛了，真想再换个银行！,0
102,农行的积分兑换活动超给力，兑换500元的购物卡竟然只需要6000积分，简直太划算了！,1
103,交行的信用卡分期还算可以，0利率分期到期后还款也挺灵活，适合资金周转的朋友。,2
104,光大银行的理财产品收益低得让我失望，才3.5%左右，和市场平均水平差得多，真不推荐！,0
105,这家工商银行的定期存款利率太低了，才2.1%，感觉不如其他银行，真心看不过去，亏了不少机会，情感指数为0。,1
106,我在招商银行买的“招行小金卡”，每年都有200多的返利，感觉挺划算的，尤其是偶尔一些活动，真是赚到了，情感指数为1。,2
107,建设银行的信用贷额度蛮高的，多次申请都顺利通过，利率也在4.5%左右，还算可以接受，感觉中规中矩，情感指数为2。,3
108,平安银行的保险产品真是坑，缴了个小额保费，结果理赔各种难，不建议大家轻易尝试，亏得不偿失，情感指数为0。,4
109,最近在中信银行开了个理财产品，年化收益率竟然高达5.3%，感觉赚到了一波，非常开心，真是一份满意的投资，情感指数为1。,5
110,我刚刚申请了招商银行的定期理财，利率高达4.5%，到账速度也蛮快，感觉不错！不过在线客服好像不太耐心，有点小失望。,1
111,真的受够了中信银行的信用卡，年费那么高，申请几个优惠根本没见到，我的分数也一直上不去，太失望了！,0
112,建设银行的房贷利率下降了，终于从5.3%降到4.9%，这让我每个月省了不少钱，最近心情都好很多，真是大大改善了我的负担！,1
113,最近在平台上看到工商银行的基金产品，有些收益看起来不错，但感觉大家对风险讨论得也蛮多的，不知道值不值得入手？,2
114,我用的浦发银行的借记卡，天天被推销各种理财产品，烦得要命，明明只是想拿点零钱，结果还是被推销得一头雾水！,0
115,我最近在招商银行办了个定期存款，利率居然有3.5%，比我之前的银行高不少，真心不错！,1
116,建设银行的信用卡真心好用，去年我用了个活动，返现达到了500元，刚好可以再买个新手机，太开心了！,1
117,中信银行的理财产品收益太低了，才2%多一点，而且还要锁定资金，我觉得不太划算。,0
118,交通银行的个人贷款申请非常方便，我当时申请了10万元，资料齐全，居然只用了3天就下款，超赞！,1
119,农行的储蓄宝用着真心糟糕，除了利息低，提现还要扣手续费，感觉不如传统存款来得划算。,0
120,农行的定期存款利率真不错，最近新推出的产品，3年期的利率居然有3.8%，值得考虑！,1
121,中信银行的信用卡额度提升太难了，我从去年申请就一直没看到动静，客服态度也不佳，真是让人失望。,0
122,我在建行开了个基金账户，操作还算简单，不过收益还没明显，不知道能不能稳定获利。,2
123,招行的理财产品真心不错，5万元起步，最近我买的一个年化收益率达到了4.5%，心情好极了！,1
124,兴业银行的购房贷款审批速度太慢了，我觉得真影响了我的购房计划，感觉整个流程有点无力。,0
125,好多人推荐我用建设银行的“存款宝”，年化收益率居然有3.5%，感觉比较划算，但就是不太清楚提取的时候会不会麻烦，期待能早点解冻！,1
126,真的很想说农业银行的“家庭理财”不太适合急需用钱的人，余额宝虽然收益低一点，但流动性好多了，转账也方便，还是比较推荐的！,2
127,这几个月用招商银行的信用卡，感觉还不错，最低还款只要几百块，灵活运用能缓解压力，可惜额度没涨上来，真心希望能提额啊！,3
128,最近在光大银行开了个“养老金账户”，宣传说年收益4%，我觉得没什么风险，但转账倒是挺慢的，不知道是不是常态，有人体验过吗？,4
129,我在兴业银行办了“定期存款”，1年期的利率才2.1%，当时觉得没什么，但这几个月利息都想不到几块钱，真让人生气，果然要多比较其他银行的产品！,5
130,最近在中国银行开了个理财产品，叫“稳享盈”，年化收益率竟然有4.5%，感觉还不错，虽然也不是特别高，但比存款强多了，资金流动性也挺好，随时可以取出，心里蛮踏实的。,1
131,这个工商银行的信用卡居然会自动附带一个保险，感觉其实也挺实用的，虽然年费有点高，达到了388元，但每年消费满3万也可以免掉，觉得还是有意外惊喜的，给个好评吧！,2
132,前几天在建设银行尝试了个“丰收宝”存款产品，利率还不错，3个月期的利率达到3.2%，但是要说服务态度真是差劲，柜台小妹一副不情愿的样子，真想给她发送个情感分析。,3
133,交行的定期存款产品还行，利率差不多在3.5%左右，锁定一年的利息算下来的话收益也不错，不过必须要提前支取才会有点损失，心里有点犹豫，算是中立评价吧。,4
134,最近用农业银行的掌上银行转账，手续费真心不低，居然要收我25块，真是有点小贵，平常用支付宝转账都没有收费，郁闷中，只能给个负分了！,5
135,我刚办理了工行的定期存款产品，收益率竟然到达2.75%，感觉还不错，虽然起存金额是5000元，但总比把钱放在活期强啊！,1
136,"交通银行的信用卡提额真是太慢了，申请了差不多三个月了，连个通知都没有！每次问客服都是""正在审核""，能不能快点儿啊！",0
137,刚买了招商银行的基金，觉得风险不高，收益也还行，毕竟每个月都有分红，心里感觉还算平衡，期待后面的收益。,2
138,中信银行的房贷利率真是太划算了，五年固定3.8%，每个月还款额也不算高，感觉贷款买房真的轻松了不少！,1
139,我在建行办的个人网贷贷款利息高得离谱，竟然到达了18%，还不算其他费用，简直是太坑人了，想提前还款都难！,0
140,之前在招商银行开了个“如意存款”，年利率3.5%，感觉收益不错，存了一年到期还能拿到利息500块，挺划算的！,1
141,光大银行的“现金宝”太坑了，连续三个月都没见到想要的收益，客服服务态度也不好，真让人失望。,0
142,中信银行的“爱心理财”产品，收益还算稳定，虽然不高，只有2.2%，但风险也不大，至少心里比较踏实。,2
143,我在建设银行办了“乐享理财”，年化收益竟然有4.2%！这几个月了，收益都很稳，让我觉得钱在这里放着特别划算。,1
144,汇丰银行的“汇丰家庭账户”真不是一般的慢，申请了两个月还没审核通过，快把我等得不耐烦了，希望以后效率能提高点！,0
145,农行的理财产品真让人生气，我投了“稳盈一年”，结果收益低得可怜，才只有2.5%，真是浪费时间和精力。,0
146,我开的招商银行的信用卡，真心赞！每消费100元能得1个积分，积分用来兑换礼品超划算，最近换了个米家扫地机器人，满满的幸福感！,1
147,平安的车险产品不错，投保了“尊享车险”，赔付快速又靠谱，出事故后第二天就理赔到位，真是大赞啊！,1
148,中行的定期存款还行，利率3.3%虽然不高，但安全感满满，存了10万，三个月后拿到利息不算少，反正就稳稳的。,2
149,建行的贷款利率让我很无奈，申请的“个人消费贷款”借到了5%，真心觉得不划算，跟我朋友在别家银行贷的3%比起来差太多了。,0
150,农行的定期存款产品还不错，年利率达到3.5%，比大多数银行高，我办了个一年期的，收益也挺可观的。不过利率还会随时调整，未来能否保持这个利率就不太确定了。,1
151,工商银行的信用卡真是让我喜忧参半，消费满5000元可以享受9折优惠，但有时候账单分期手续费也有点高，真不好把握，需谨慎使用呀。,2
152,建行的理财产品太坑了，投了个收益6%的基金，结果到期时只有4%的收益！而且客服态度真的差，让人很失望，搞得我心情很差。,0
153,招行的网贷产品体验不错，额度高达5万元，利率也比较低，申请到款还挺快的，真的是我这种急需资金的小白福音。,1
154,民生银行的活期宝利率虽然不是最高的，但至少也有1.5%的收益，适合像我这样随时需要用钱的人。而且转账也很方便，感觉还算不错。,2
155,我在招商银行的活期宝投资了几个月，年利率才1.5%，感觉真的不够！虽然流动性好，但总是在想，要是能有个更高的收益该多好啊。,1
156,农行的信用卡真是让我失望，这个月居然因为一次小额消费被降额了，感觉根本不被重视！而且客服永远是那个冷冰冰的语气，服务态度真差。,0
157,我在浦发银行办了一个大额存单，利率达到了4.2%，而且存期灵活，尤其是每季度都能领取利息，感觉很不错，资金管理上也轻松不少！,1
158,交通银行的理财产品看起来还不错，不过收益大概只有3%左右，性价比一般，感觉还有提升的空间。不过至少能保证本金，这点让我安心。,2
159,光大银行的旅游险买了之后，联系客服竟然连续几次都得不到及时反馈，感觉保障就要打个问号，万一真出事了，能不能给到服务我都不知道。,0
160,工行的定期存款利率真不错，现在是3.5%，比很多银行都高，还比较安全，推荐给大家！,1
161,招行的信用卡真心不敢用，去年买的分期，一直收手续费，真是让人心烦，感觉怎么都亏了！,0
162,中行的理财产品收益率还挺满意，最近买的一个产品，年化收益率有4.8%，感觉很划算，钱放着也能增值！,1
163,农行的活期存款利率真的不高，才0.3%，不过取钱方便，有时流动性比较重要，就将就吧。,2
164,交行的个人贷款申请过程让我很失望，提交材料后等了快一个月才批下来，效率真的低，真想去别家！,0
165,我刚刚申请了招商银行的信用卡，结果额度居然只有2000块，对于我这样的消费水平来说完全不够，真是失望。,0
166,建设银行的定期存款收益还不错，最近我存了两万元，年利率是2.75%，比很多银行都高，果然没有让我失望。,1
167,说实话，农业银行的养老保险产品宣传得很好，但是我觉得了解的人不多，毕竟这类产品需要长期投入，风险也有点高。,2
168,上个月我在中信银行开了一个投资账户，买了收益宝，收益每天都在涨，感觉不错，客服态度也很好，很满意。,1
169,还是觉得工商银行的房贷利率太高了，才下调了一点儿，感觉逼死我这样的买房族，真心不想再多花钱。,0
170,交通银行的活期宝真不错，现在的年化收益率达到了3.5%，比一般的活期存款强多了，感觉钱放在那儿也能赚点小钱，挺开心的。,1
171,工商银行的信用卡真的是坑，年费超贵还限制活动，申请的时候不说，但额度给的也少，真让人失望，这次体验非常不好。,0
172,中信银行的理财产品还行，收益663，也就是5.5%年化，不算特别高，但相对安全，觉得追求稳健的朋友可以试试，但也没有特别惊艳的地方。,2
173,农行的定期存款利率已经到了4%了，选择了一年期，利息能给我补贴部分日常开销，整体体验还是满不错，期望下次能有更好的利率！,1
174,招行的消费贷利率太高了，我借了5万，但每月利息就要800多，真的是压力山大，之后不会再碰了，感觉划不来。,0
175,我最近申请了工商银行的“理财通”，收益率挺高的，刚开始是3.5%，后来有所下调，但实际上还是比存款强多了，今天看到收益已经有300块了，还是很满意的，感觉赚到了！,1
176,我用的是建设银行的“e账户”，感觉蛮方便的，手机扫码就能支付，转账也很快，之前尝试过几次反而没有用过的银行账户慢，不知道是不是我运气好，所以这个产品我给个好评，整体感觉很流畅！,2
177,我试过中信银行的“活期宝”，收益稳定在2.5%左右，前几个月每月收益都有150块，基本上比定期存款灵活，我这段时间需要用钱也没什么影响，蛮划算的！,3
178,我最近在招商银行开了“定期存款”，利率是4.2%，额度10万元，感觉还是不错的，虽然优惠活动有限，不过我就想稳稳当当的存着，未来有计划拿出来。,4
179,我有用过农业银行的“信用卡分期”，分期手续费有点高，第一次是1万分12期，每期还要300多块，算下来利率不低，但是当时确实急用现金，总体来说应用的灵活性还不错，但下次会考虑其他选择。,5
180,中国银行的定期存款真的不错，我在他们那里存了三个月，利率达到了4.5%，比其他银行强多了，感觉还是比较划算的。,1
181,我在工商银行的信用卡申请了很久，结果一直被拒，感觉服务态度也一般，真让人失望，不知道哪里出了问题。,0
182,农行的理财产品收益不错，但是刚开始的时候总是担心本金的安全性，咨询客服也没有给我太多信心，还是得慢慢观察。,2
183,平安银行的保险产品真心推，买了他们的重疾险，保额50万，只要年缴3000多，心里踏实多了，感觉这笔钱花得值！,1
184,我在浦发银行的贷款真的没想到这么麻烦，申请过程中各种资料审核拖延，结果耽误了我的计划，服务质量上有待提高。,0
185,广发的“随心贷”真不错，利率才3.5%，而且提前还款也没罚金，解决急用钱的问题，超方便！,1
186,兴业银行的定期存款利率也太低了吧，才1.75%，感觉不如放在支付宝理财，真是失望。,0
187,招行的信用卡真是一个看脸的产品，各种权益也不错，不知道我这个650的信用分能否申请下来。,2
188,建设银行的理财产品周周升的收益还挺稳定，感觉比其他家强，每周都有5%收益，棒棒的！,1
189,工商银行的房贷流程太慢了，等了快一个月才批，心累，服务态度也一般，真心不想再碰了。,0
190,我在平安银行办理的定期存款收益真不错！目前年化收益率达到了3.5%，我存了10万块，算下来一年就能赚3500元，感觉很划算，值得推荐给大家！,1
191,刚在建设银行买了他们的理财产品，编号是CB202309，收益率给得不算高，才4.2%，不过流动性不错，随时能取，算是中规中矩吧。,2
192,光大银行的信用卡真好用，我的卡是去年申请的，刚拿到就有500元的刷卡优惠，感觉这家银行的服务态度也很棒，值得多用几次！,1
193,之前在中信银行开了个网上存款账户，没想到中途系统崩了，打客服电话也没人理我，真是懊恼，这样的服务怎么行？,0
194,听说农业银行的住宅贷款利率最近降了，看起来是3.8%，如果想买房的朋友可以关注一下，虽然现在买房压力大，但还是得计划起来。,2
195,我在中信银行开了个定期存款，利率比其他银行高，年化收益3.5%，感觉挺划算的，值得推荐给大家！,1
196,招商银行的信用卡真心不怎么样，积分兑换的东西少得可怜，我用了一年也没换到什么实用的，好失望！,0
197,交通银行的理财产品还行，流动性不错，收益大概在4%左右，适合喜欢灵活运用资金的人，整体来说中规中矩。,2
198,建行的房贷利率便宜，首套房利率为4.6%，贷款20年还款压力不大，办理流程也比较快，真心满意！,1
199,农行的一些投资理财产品宣传得太美好，实际收益却低得可怜，我投的那个也就年化2%左右，感觉上当了。,0
200,我用招商银行的“零活存”产品，利率高达3.5%，感觉不错，就是取钱的时候限制有点多，还是要提前看清楚。总体来说，收益还算满意，给予个1分。,1
201,前几天我投资了建行的“稳健理财”，年化收益率到达了4.2%，买的安心，收益也不错，不过申购的时候等了好久，有点不耐烦。总体上还行，给个1分吧。,2
202,光大银行的“存款宝”记得当时宣传利率是4.0%，结果最后给我的却是3.5%。虽然利息其实也还好吗，但我还是觉得被套路了，情绪有点掉，给个0分。,3
203,农行的“基金定投”也体验了一下，收益浮动不小，有时候能上浮到10%，但有时候又掉到7%。这种体验我觉得就是中规中矩的，没什么惊喜，给个2分。,4
204,我申了中信银行的“好享慢活卡”，额度给了50k，申请过程还算顺利，就是激活的时候麻烦了点，客服也没特别热情。总体觉得服务态度需要改善，给个1分吧。,5
205,我最近在招商银行办理了他们的“招行定期存款”，年利率居然能达到3.5%，感觉还不错，虽然利息有点低但是稳定，适合稳健型投资者，推荐给挥霍不定的朋友们！,1
206,之前在平安银行申请的“平安信用卡”，每月有2%的现金返还，真的超级划算，尤其是加油和超市购物的时候，一年下来能省不少钱，真心点赞！,2
207,在工行买的“工银理财”产品，收益竟然只有2.0%，而且锁定期还长，感觉有点不划算，稍微对比一下其他银行的产品就会发现真心不够竞争力，不推荐给喜欢追求高收益的朋友。,0
208,中信银行的“存款大赛”真的是好活动！我参加了之后自动抽了200元的奖金，虽然不多，但总比没有好，关键活动氛围还不错，大家都在聊心得，蛮有意思的！,1
209,之前听说建设银行的“银联支付积分”可以兑换各种礼品，体验了一下，兑换的礼品质量参差不齐，所以觉得这活动还行，但也没啥特别吸引我的，比较中立吧。,2
210,我用的是工商银行的“智能定期”存款产品，收益率是3.5%，感觉还不错，毕竟存款就想稳稳当当的，不想折腾，虽然不算特别高，但比活期强多了。,1
211,中信银行的“房贷”真心太坑，利率竟然高达4.8%，申请的时候也没说清楚各种手续费，明明以为能省钱，结果每个月还款压力山大，搞得我都不敢再贷款了。,0
212,农行的“新财富理财”还挺满意，年化收益能达到5.2%，我投了5万进去，感觉不错，能在这个低利率时代找到这样收益的产品真心不容易，至少不会让我的钱贬值。,1
213,交通银行的信用卡服务还是比较中立吧，申请的时候速度很快，额度也有一万，但不太喜欢它们的积分政策，积分好像也不太好用，甚至还觉得不如某些其他银行的信用卡划算。,2
214,建设银行的“车贷”让我很无奈，申贷时各种资料要交，审批又慢，等了几周才批准，结果下来发现利率6.5%，真心觉得不值得，心累啊，买车的经历居然让人如此失望。,0
