id,text,class
34,建行的整存整取方式挺不错的，虽然利率不算很高，但至少保证了本金的安全，每月还能有一小笔收入！,1
35,我最近申请了浦发银行的“优逸白”信用卡，附带的积分政策真的不错，可以在日常消费中积累到很多积分，兑换礼品的时候超级划算！,1
36,农行的定期存款利率太低了，这年头存款才1.5%，真的不如拿去投资更划算，感觉完全跟不上经济发展的速度。,0
37,其实招行的“零手续费”基金投资体验还不错，虽然收益不算特别高，波动也有点大，但总体来说比较稳，适合稳健的投资者。,2
38,交行的“随心贷”真的方便，我上周申请了5000元的额度，审批速度快到我都惊讶，利率也算合理，短期周转用得上，非常满意！,1
39,中行的房贷利率比其他银行贵了一些，真是不太推荐，慢工作流程也让我等得很心累，感觉换银行更划算。,0
40,在中国银行的定期存款产品上，我存了50万，年利率竟然有3.3%，这在市场上算是不错的，虽然还是觉得略低，但总体上我还是挺满意的！,1
41,我最近在建行买了一款理财产品，叫“财富管理计划”，结果投资收益只有2.5%，完全不如我预期，真是失望！,0
42,之前在招商银行办了信用卡，额度也不算低，给了我2万，加上分期利率也在合理范围内，购物用着很方便，推荐给大家！,1
43,友邦保险的理财产品我也是刚接触，刚开始觉得很头疼，里面的条款复杂，但咨询了客服后感觉还不错，中规中矩的产品。,2
44,我在兴业银行的借记卡上被收取了服务费，才几块钱，但这种服务没告诉我就扣费，心里特别不爽，希望能改进一下！,0
45,我最近开了一张工商银行的快贷，额度真的挺不错，借了5万，总体利息也算合理，按年计算也就600块，感觉蛮划算的，满意！不过审批速度略慢，等了两个星期才放款。,1
46,建设银行的理财产品真心不推荐，我买了他们的“稳健投资计划”，听说是低风险，结果一年下来也就2%的收益，完全看不上，钱放在那浪费时间啊！,0
47,刚刚试了下招商银行的新信用卡，宣传的分期免息。也不知道是不是真的有效，额度45000，先刷刷试试吧，咱也别太期待。,2
48,中信的高收益存款真的不错，年利率能到4%，我存了一年，能拿到3000块利息，感觉很划算，值得推荐给朋友们！,1
49,工银互联网账户还不错，操作简单，但就是不够灵活，我想把钱取出来的时候，却给我提示要收手续费，真是让人失望，搞得我有点后悔了。,0
50,我之前在建设银行申请了个定期存款，利率3.5%，感觉还不错，存一年可以拿到3500块，这种稳定收益还是挺让人开心的，推荐给大家！,1
51,我在某家银行的信用卡申请过程中就遇到了很多麻烦，申请了好久才审核通过，真是折腾，感觉不如其他银行的体验好。,0
52,我尝试了工商银行的理财产品，收益大概是5%，而且风险低，适合我这种保守型投资者，值得一试！,1
53,最近购买了招商银行的基金，亏了10%，心情真是糟糕，明明广告上说稳赚不赔，实际操作却让我失望！,0
54,刚申请了农业银行的灵活存款，利率还没最终确定，感觉还可以，毕竟是比较灵活的产品，又不想完全锁死资金。,2
55,交行的理财产品真是没话说，收益稳定，年化大约3.5%，适合保守派，感觉安全感满满！但是手续有点繁琐，得亲自去柜台填写各种表格，真是麻烦！,1
56,建行的定期存款利率超高，居然达到了4.0%，这个利率在现在算不错了。但就是有点儿不方便，想动用钱的话限制太多，得提前预约，心累！,2
57,中信银行的信用卡真的是让我食指大动，购物返现5%，每个月都有小惊喜，想想这月还买了个新手机，返现差不多能抵掉一部分费用，赞！但客服电话似乎很难打通，有点烦人。,3
58,别说工商银行的理财宝了，3.6%的收益真的蛮可观的，觉得比存钱好太多了。不过买的时候被坑了记得看清楚合同，后面有些隐性收费，心里有点不爽。,4
59,招商银行的贷款产品挺不错，最近申请的额度给了我30万元，利率3.2%，算是低利息贷款了，不过审批速度真的是慢啊，等了快半个月才通过，有耐心的朋友们可以试试。,5
60,我在中国银行存了一个定期存款，年利率居然有3.5%，感觉还不错，虽然钱不能随便动，但能多赚点小利息嘛！,1
61,最近办理了建设银行的信用卡，额度给的6000元，每个月刷个3000都有返现，感觉这个卡还挺划算的！,2
62,别碰招商银行的理财产品，我买的“招财宝”半年后竟然亏了5%，简直就是个笑话，根本不划算！,0
63,在农业银行申请的车贷，利率只有4.2%，还算友好，审批也满快，感觉整个过程挺顺利的，满意！,1
64,光大银行的储蓄卡，取款方便，转账也没啥手续费，虽然也没什么特别优越，但用着蛮习惯的。,2
65,我在招商银行办了个定期存款，收益还不错呢，利率达到3.5%，比我想象的要高，真心推荐！,1
66,我在浦发银行办理的信用卡，额度一直没上去，申请一年了，才只有8000，心里真不爽！,0
67,中行的理财产品还行吧，收益差不多在5%左右，但要注意风险，不是太高的回报。,2
68,最近在农业银行办了个金利宝，流动性不错，收益也挺满意的，基本稳定在4.2%左右。,1
69,交行的消费分期利息太高了，竟然要20%的年利率，感觉太坑了，不知道他们在想啥。,0
70,广发银行的定期存款利率还算不错，我去年存了一笔，年利率居然能达到2.75%，比其他银行都高！反正我也懒得折腾，还是继续在这里存吧，感觉还行。,1
71,这家农业银行的消费贷款真让人失望，我申请的额度一直不高，最后才给了我3万块，还要抵押车子，手续费还不少，搞得我觉得真不划算。,0
72,建设银行的信用卡让我非常满意，每次刷卡都有积分返利，换礼品也很划算！我最近刚换了个电饭煲，真心觉得这卡用着值！,1
73,浦发银行的车险产品嘛，整体服务还算正常，但客服态度有时候让人觉得不够热情，实事求是，价格也不算特别便宜，反正就是个普通的选择吧。,2
74,交行的小额贷款申请速度慢得让人受不了，从提交申请到审批意见等了整整两周，中间也没任何消息，真心不推荐！感觉效率低下。,0
75,中信银行的理财产品真不错，之前投了一个“中信财富计划”，年化收益竟然达到5%，非常划算，推荐给大家！,1
76,我在招商银行买的“招财宝”收益还不错，虽然只赚了200块，但感觉靠谱，心里踏实，期待下次再投资！,1
77,交通银行的信用卡一直在用，但利率真的有点高，想申请的时候还要考虑一下，要不然就太亏了。,0
78,我最近开通了浦发银行的“智盈存”业务，不过存款利率也就是2.5%左右，感觉还挺一般，没有特别惊喜。,2
79,农行的“定期存款”真心推荐，利率比大多数同类产品高，存了一整年，到期收益还不错，心里美滋滋的！,1
80,我觉得建设银行的存款利率还是挺不错的，特别是他们的定期存款，3年期利率居然能给到3.5%，真是划算，存个10万块每年也能有3500的利息，感觉很划得来！,1
81,最近在浦发银行办理了个贷款，真的是让我无语，审核速度慢，快一个月了还没消息，利率倒是说得不错，但这效率让我有点失望。,0
82,中信银行的基金产品选择多！我随便买了点他们家的QDII基金，收益波动挺大的，情况都还可以，但我觉得就是个试水，不算特别冒险的投资。,2
83,我最近办了交通银行的信用卡，有红包活动真的是太好玩了！直接就送我300块的消费券，我把它用在大额消费上的时候，真的是超级划算，大家可以试试！,1
84,农行的理财产品总是让我很哭的，我买了个保本型的，却发现到期后收益才3%，这比我银行存款还低，真的是心累。,0
85,中信银行的理财产品真是不错，年化收益率能达到4.5%，听说还有个编号为CB2023的产品，钱放进去几个月就能看到收益，感觉挺划算的！,1
86,招行的信用卡优惠太少了，我申请的是逸卡，结果消费返现竟然只有1.5%，而且有些商家根本不支持，这让我好失望！,0
87,农行的定期存款利率终于涨了，能够达到3.0%，虽然不高，但比活期强多了，起码能安心存一段时间，利息也能见到。,1
88,交通银行的贷款产品利率还算可以，额度也挺大，我看了一下，年利率大概在5.2%左右，虽然不是最划算的，但我个人觉得还行。,2
89,这家银行的在线理财客服太慢了，我想咨询一下他们的P2P产品，结果等了快半个小时也没人理我，真是让人烦躁！,0
90,中国银行的定期存款利率真不错，3个月的年利率达到了3.5%，存了一万元，利息也有85块钱，感觉还是稳妥的选择。,1
91,我在招商银行买的理财产品，线下说收益能有5%，结果实际到账只有3.8%，真是有点被坑的感觉，心累。,0
92,建设银行的信用卡真的是好用，刷个积分换个礼品轻松，额度还给我提到了一万八，开心得不要不要的！,1
93,中信银行的消费贷款审批速度挺快的，申请后大约一个星期就下来了，但也没什么特别的感觉，正常吧。,2
94,广发银行的活期宝用了一段时间，收益太低了，年化才1.2%，感觉不如把钱放在家里，真心不推荐。,0
95,我最近在工行办了一个定期存款，年利率还不错，3个月的利率是1.75%，还能随时支取，感觉挺划算的，赞一个！,1
96,前几天在招商银行申请的信用卡，竟然被拒了，理由竟然是我的收入不达标，真是无奈，明明我还在用他们的定期理财产品！,0
97,申购了建设银行的货币基金，整体收益也就4%左右，没啥特别的感觉，中规中矩吧！,2
98,上个月在农行买了大额存单，利率高达3.5%，而且不到两周就到账了，感觉超靠谱，以后还想多买！,1
99,我在中信银行办理的贷款，现在利率居然涨到6.3%，真不明白他们怎么定的，感觉很不划算，压力有点大。,0
100,我之前在建设银行存的定期存款，利率居然只给了2.5%，感觉不值，真想换个更高收益的银行！,1
101,最近在招商银行办了信用卡，额度给了我3万，刷卡还返现，感觉还是挺不错的，推荐！,2
102,朋友在平安银行买了他们的基金，结果亏损了30%，真心觉得不靠谱，损失惨重！,0
103,觉得光大银行的APP使用起来还行，界面简洁，操作不复杂，就是网速有时候慢得让人抓狂！,2
104,中信银行的消费贷真的不错，年利率才3.5%，而且审批速度飞快，帮我解决了燃眉之急，挺赞的！,1
105,我去申请了建设银行的宜享人生理财产品，3个月的期限居然给我2.5%的年化收益，真的是划算，本来以为银行理财没啥收益，结果这款产品让我刮目相看了，果然有惊喜！,1
106,我之前在招商银行买的月月领存款宝，半年下来才给我0.8%的收益，太低了，感觉完全不划算，这根本就赚不了多少，真是一言难尽啊，后悔买了这个产品！,0
107,真的很喜欢农业银行的信用卡分期付款业务，0123的手续费也算合理，分12期还款压力不大，还能累计积分，去兑换礼品，简直是双赢，我再也不害怕大额消费了！,1
108,我在工行买的稳利宝收益还好，虽然每个月的利息就几块钱，但总的来说不会亏，适合稳健型投资者，不想冒险的人也能接受，就是相对没什么惊艳的感觉。,2
109,觉得中信银行的理财产品“中信鑫盛”真心不怎么样，虽然宣传的年化收益率很高，实际到账时却发现每月的利息真的少得可怜，有点被忽悠的感觉，以后不会再碰了。,0
110,我在招商银行办的理财产品收益还不错，年化收益率高达4.5%，比我之前买的都强，推荐大家试试！,1
111,交通银行的信用卡审批真慢，等了快一个月都没消息，客服态度也不友好，心里真的很不爽。,0
112,很多人说建行的定期存款利率一般，不过我觉得实际到账后也还行，至少比余额宝高，大家可以参考一下。,2
113,中信银行的教育贷款利率才3.5%，申请过程也挺简单的，能缓解不少经济压力，真心感谢这个产品！,1
114,我在农行办的养老金产品说明书看着让人迷茫，很多条款不清楚，感觉有点被坑的风险，希望能改进。,0
115,中信的理财产品收益真的太坑人了，刚刚把一款一年期的理财产品赎回，收益才400块，还要扣税，心累…,1
116,我办的农行信用卡，额度给了我2万，刷卡累计积分真的是不错，去年用这些积分兑换了个无线耳机，感觉超值，推荐！！！,2
117,按揭贷在建行申请了，前几天接到电话让我去面签，服务态度很好，费了大半天搞定，额度还不错，有20万的支持，期待顺利放款！,3
118,工行的定期存款利率感觉一般般，才3.5%，远不如去买点理财产品，可是觉得理财风险大，总是纠结，不知道大家都怎么选择的？,4
119,招行的基金产品现在收益也就5%左右，不过最近我买进了一只比较稳的，觉得长线投资也不错，以后再慢慢积累。,5
120,去年在招商银行买的理财产品收益还不错，年化收益率达到4.5%，感觉蛮划算的，靠谱！,1
121,中信银行的信用卡真是让我失望啊，额度才3000块，用了几次就提不上去，客服也不太靠谱，真心不推荐！,0
122,听说工商银行的定期存款利率提高到了2.75%，有点心动，但是还是得考虑一下自己的流动性需求，毕竟锁定一年也不太方便。,2
123,在建设银行办的新基金，买了几个月了，收益几乎没有动，涨跌幅简直让人崩溃，想说直接退了算了，但又怕亏本。,0
124,农行的车贷超级方便，利率才4.2%，审批速度也快，一周就到账，真心感觉好，买车轻松搞定！,1
125,工行的定期存款真的是不错，存了3万元，利率达到了2.75%，一年后就能拿到800多块，超值！,1
126,招行的信用卡简直让我心塞，消费满5000元都没法返点，感觉就是给银行白忙活！,0
127,建行的理财产品收益还算稳定，年化收益4.2%，虽然没那么高，但至少无风险嘛！,2
128,农行的智能存款让我很开心，随存随取，利率高达3.0%！真的是意外惊喜，推荐给大家。,1
129,中信的贷款利率太高了，差不多7.5%，还款压力大得让我每天都在算账，真是不敢碰！,0
130,我最近开了招商银行的理财产品，收益率居然可以达到4.5%。不过资金门槛有点高，需要50万才可以，真是让人犹豫啊。,1
131,说实话，我用了农行的信用卡，额度也就5000，真是小气。每次消费基本用不完，体验不太好。,0
132,中信银行的房贷产品，利率是5.2%，相对来说还算正常吧，但是审批时间真是拖得很，让我有点不耐烦。,2
133,最近想办理平安的保险，觉得性价比还不错，年缴保费才8000，保障范围也挺全的，听朋友说赔付也很靠谱。,1
134,我开通了光大银行的手机银行，但是界面实在太不友好了，找东西特别麻烦，还有些功能经常出问题，体验太差。,0
135,我在建设银行的定期存款利率还不错，年利率2.75%，存个一年基本没风险，真心感觉挺划算的！,1
136,之前在工商银行办理的信用卡福利真心让人失望！积分兑换难度大，还常常遇到优惠活动过期的情况，搞得我很郁闷。,0
137,农行的理财产品收益很诱人，我上个月买的那款“金豆豆”，收益率竟然达到了6.5%，预期收益都高得让我惊喜！,1
138,交通银行的房贷利率算是中规中矩，虽然有些银行提供更低的利率，但服务态度还不错，算是个可以接受的选择。,2
139,去光大银行申请的信用卡居然被拒了，同样的资料，其他银行却没问题，真是让我有点气愤，难道光大的审核标准特别严格吗？,0
140,最近申请了浦发银行的“星级信用卡”，果然没有让我失望，额度给的不错，1万的额度让我很开心，特别适合我这种经常消费的人！,1
141,之前办了工行的一款理财产品，宣传年收益率6%，结果到期后收到的收益才3%。感觉这就是个坑！我真是心累，银行的套路真是不少啊。,0
142,我在中信银行办了个定期存款，利率大约是3.5%，算是还不错吧，存款锁定一段时间，但安全感还是有的，最近利率低的情况下至少还能保值。,2
143,农行的“掌上理财”APP使用起来挺顺手的，里面的多款理财产品收益都不错，像某个货币基金年化收益4%以上，真的不算差哦！,1
144,之前办了光大银行的消费贷，结果审核比预期慢了好多天，客服态度也一般，经常打电话过去都找不到人解答，真心让人失望！,0
145,这家中国建设银行的理财产品收益还不错，稳定在年化3.5%左右，我买了一万元，算下来一年能有350块收益，感觉还行。,1
146,农行的信用卡提额速度真是快，我刚申请了5K的额度，没想到过了一个月就直接提到10K了，消费也算方便，给个赞！,2
147,我试过招商银行的定期存款，利率比其他银行好一些，虽然现在年化只有2.75%，但至少比活期强多了，还是不错的选择。,3
148,平安的汽车贷款利息比起其他银行略高，不过额度还算能接受，我申请了15万的贷款，最终利率定在5.2%，总的来说还算合理。,4
149,兴业银行的信用卡好用啊，积分兑换速度很快，前几天用积分换了个299元的购物卡，觉得回馈力度不错，继续用下去！,5
150,我在招商银行办的理财产品收益真不错，年化利率达到5.2%，感觉很划算，算是理财的不错选择了！,1
151,农行的信用卡实在是太坑了，申请了半天额度才5000块，和我朋友的同款卡差了几千，真是让人崩溃啊！,0
152,最近刚开了中行的定期存款，利率是3.5%，感觉也就那样吧，至少安全，还是蛮稳妥的选择。,2
153,之前用建设银行的车贷，办理速度很快，利率也算合理，居然只给了我年化4.8%，真心觉得满意，值得推荐给想买车的小伙伴！,1
154,交通银行的某款基金投资我超亏的，亏了十几个百分点，真是难以接受，心情简直要崩溃了！这次真的没继续看好！,0
155,我最近在招商银行办了一张财富管理卡，收益真不错，利率竟然达到4.5%，感觉赚得比以前32活期强多了，推荐大家试试！,1
156,打算在工行买理财产品，结果客服告诉我这款产品的收益率只有2.5%，真是让我失望！之前说好的3.5%到底去哪了，搞得我白跑一趟！,0
157,今天去建设银行查询了我的信用卡积分，发现居然有点儿小惊喜，总算能兑换点儿购物卡，虽然不多，但总比没好，算是中规中矩吧。,2
158,我在农业银行的定期存款，开了个3个月的，利率有4%，感觉这段时间钱生钱还是不错的，感觉没有特别糟糕的事发生，赞一个！,1
159,前几天在兴业银行申请贷款，结果他们的审核速度太慢了，还得等好久才能拿到结果，真心急死我了，感觉服务跟不上该有的效率！,0
160,这次在中行办的理财产品真是个大坑，收益低得让人心寒，才3.5%，还不如我存款的利息高！,0
161,我刚办了建设银行的阳光理财，年化收益率竟然有5.6%，超开心，终于找到合适的投资了！,1
162,交行的信用卡服务一般吧，额度也没想象中高，能提到5千已经不错了，不过在网上买东西还是挺顺利的。,2
163,上个月在工行申领的住房贷款，审批速度很快，利率也还可以，贷款额度500万，心情美滋滋！,1
164,之前听朋友说招行的理财产品不错，结果我买的那个总收益才3%，真是被忽悠了，不值得！,0
165,招行的“养金宝”收益真心不错，目前年化收益能达到4.5%。我投了一万块，结果一个月就赚了快38块。一般来说，比起传统存款，灵活性也强，随时可以取出，真心推荐！,1
166,这次申请了兴业银行的“智能定投”，感觉收益很可观，最低投资额还只有100元，一个月下来已经有个6%的回报了。用户体验也不错，简单方便，适合小额投资人。,1
167,工行的“理财通”我上个月买的，结果一个月过去都没啥动静，似乎收益也就2%左右，实在不高，复利的感觉也没那么好，看得我有点失望。,0
168,我前几天开通了平安银行的“信用卡分期付款”，利率低到1.5%，感觉还不错，首期就能减轻不少压力，真的是缓解了我的购车贷款负担，赞一个！,1
169,中信银行的“活期+”我也用了好一段时间了，收益和普通活期比起来，确实有点吸引人，不过操作上还是有点复杂，初学者可能会觉得麻烦。,2
170,这真是个好产品啊！光大银行的e账本，我最近把存款存在里面，利息比普通储蓄高了不少，年化收益率达到了3.5%，真是开心。,1
171,听说农行的某款理财产品有风险，我去问客服，结果他们说预期收益只有4%。感觉不太划算，我还是选择了别的产品。,0
172,工行的信用卡做活动时返现挺不错，我买了家电，返了200块，虽然不很多，但也算是有点惊喜。不过额度一直没上去，感觉有点小尴尬。,2
173,平安银行的保险产品买了之后，售后服务真的很到位，理赔流程也很简洁，最快5天就到账，真心感谢他们，让我在关键时刻感受到温暖。,1
174,招行的定期存款利率很给力，最近一年期的居然有3.1%，我立马就存了一笔，听说还有提前支取的灵活选择，心里踏实多了。,1
175,我最近在建设银行申请了个定期存款，年利率为3.5%，感觉还不错，虽然不算最高但也挺稳的，保本保息就是安心嘛！,1
176,刚开通了招商银行的信用卡，前两个月消费还有返现活动，真的划算得不得了，满500元就能返40元，感觉钱包鼓鼓的，真是开心！,2
177,兴业银行的理财产品收益实在太低了，只有2.3%，我觉得这个收益根本不划算，还是得寻找其他更好的投资渠道，失望！,0
178,我去光大银行办理了车贷，流程挺顺利，审批也很快，利率是4.5%，还算能接受，期待把我的爱车开回家！,1
179,听说农行的家居贷款挺不错的，现在利率是4.45%，不过我自己还没决策，正在多方比较，看看有没有更合适的选择。,2
180,这个工商银行的活期存款利率就是不高，1.5%感觉没什么意思，随便放放吧。,2
181,经过对比，我决定选招商银行的基金定投，年化收益竟然能达到8%，太划算了！,1
182,完全不推荐农业银行的信用卡，居然每年收我399的年费，额度才1万，让我有点心寒。,0
183,我最近换了建设银行的理财产品，收益稳定，每月都有380元进账，心情顿时好了很多！,1
184,这个中信银行的贷款流程繁琐，虽然利率还成，但我一度怀疑自己是不是选错了。,2
185,我用的是招行的定期存款，利率3.5%，感觉还不错，毕竟比很多银行都高，不过提取的时候稍微麻烦，真的是不想再绑定那么多条件了。,1
186,农行的信用贷挺划算的，额度最高到30万，利率也就4.5%，感觉偷偷赚了不少，办手续还算顺利，客服态度也挺好，给个赞。,1
187,中信的活期宝真让我失望，利率才0.3%，存了一段时间也没啥收益，感觉跟没存一样，以后可能不再考虑这个产品了。,0
188,交通银行的理财产品还行，就是期限太长，一个周期都要一年，收益是5%，但要有耐心等，整体体验中规中矩。,2
189,建行的个人养老金计划真不错，收益稳定，每年能有个6%的利率，准备长期投一把，感觉未来能少操不少心。,1
190,1 我在建设银行办了一款定期存款，利率居然能到3.5%，比我想象中的要高不少，非常满意，真心觉得这款产品值得推荐给大家！,1
191,0 我在农业银行买了他们的理财产品，结果收益才2%，感觉完全不值，和我想象的差太多了，真心不推荐。,2
192,2 申了招商银行的信用卡，最高额度1万，不过额度申请过程中推来推去的，没有特别明显的感觉，就是个普通的信用卡而已。,3
193,1 我在浦发银行的基金投资收益不错，刚买了一只，已经收益了15%，让我对他们的理财产品产生了信心，计划继续投资。,4
194,0 在中行办了个消费贷款，然而贷款利率竟然高达6%，还要扣手续费，真的是有点心塞，感觉不怎么样，大家注意点。,5
195,我用光大银行的“随心存”，利率还不错，年化收益2.5%，虽然不算很高，但灵活取款还挺方便，心里觉得还可以接受，所以就是个中立评价吧。,1
196,我在平安银行办了个“安居贷”，额度500万，利率5.1%，感觉还不错，就是材料审核有点慢，等得我心急，还是有些失望的。,2
197,交行的“青年卡”给我了个3000的额度，虽然也不算高，但日常消费、返现活动挺丰富的，使用下来总感觉还算划算，比较满意。,3
198,农行的“定存宝”利率太低了，三年定存才2.1%，自认为没什么吸引力，感觉像是在亏本投资，果断选择了其他银行的产品。,4
199,我觉得工行的“信用卡分期”服务挺好用的，年利率也合理，分12期还款没有什么压力，使用体验还算不错，给个积极评价。,5
200,我最近在招商银行办了个高收益定期存款，利率竟然有3.5%。真的是赚到不行，而且到账也很快，超满意！,1
201,在建设银行的信用卡用了很久了，最近还享受到了2%的境外消费返现，简直太划算了，真心推荐大家都去申请一张！,1
202,对于交通银行的贷款产品真心觉得不满意，利率居然高达7%，每个月还款都快让我喘不过气来，大家还是要考虑清楚再上手。,0
203,工行的灵活存款好像还不错，虽然收益一般，但我喜欢随时可以取出。总体来说算是个稳妥的选择，就是没什么特别惊艳的地方。,2
204,我用浦发银行的理财产品，收益还蛮不错，7天的流动性理财，收益率达到4%。现在还有活动，真的是抓住了机会，感觉很划算！,1
205,交行的定期存款利率不错，最近我存了10000元，利率居然有3.5%，一年后的收益还挺可观，哈哈，真是觉得划算！,1
206,我最近办理了农业银行的信用卡，额度给得很快，初始额度5000，刷几笔就已提到了8000，购物方便多了，真心推荐大家申办。,1
207,最近在建设银行买了份理财产品，收益预期是4%，不过现在市场变动大，听说可能会有调整，心里有点担心。,0
208,我用的招商银行的储蓄卡，感觉还好，功能齐全，转账方便，就是转账手续费有点小贵，偶尔也会被莫名其妙扣款。,2
209,我试着申请了中信银行的房贷，结果审核太严格了，查了我的信用记录，最后还是没有通过，心情很差，真是浪费时间。,0
210,中信银行的定期存款利率还不错，最近存了一笔，年利率能达到3.5%，挺满意的。,1
211,招行的信用卡积分规则真让人懵，消费再多也觉得积分攒得慢，实在是太糟心了！,0
212,工行的余额宝倒是便宜，随时取出，但收益也就只能接受，维持在2%左右吧。,2
213,交行的家用贷款还款方式很灵活，申请下来的利率是4.9%，还款压力不大，有点开心！,1
214,农行的理财产品宣传得好，将近8%的收益，但其实风险不低，感觉不太靠谱。,0
215,这承诺收益5%的理财产品真的是不错，工行的“稳健投资”让我这几个月多了不少收入，感觉值得投资！,1
216,最近办了招行的“招财宝”，利率虽然不高但流动性不错，随时都能取出，这方面还是比较便利的，适合短期理财！,2
217,中信银行的定期存款真的是太坑了，利率才1.5%，存半年结果没啥收益，跟通胀比根本不够，真是不值！,0
218,我用的平安银行“安心保障”产品，收益回报非常稳定，上个月还给我信心，加上保险保障感觉更安全！,1
219,农行的信用卡积分兑换很方便，但优惠活动经常有变动，得时刻关注，不过总体体验还算可以，没啥特别大的问题。,2
220,我最近在兴业银行开了个定期存款，利率是3.5%，感觉还不错，毕竟比市场上不少其他银行都高。打算存一年，期待能有个好收益！,1
221,中信银行的信用卡太赞了，3%的返现比例，购物的时候真的能省不少钱！不过申请流程有点繁琐，我提交资料等了快一周才批下来，还好终于拿到手了。,2
222,最近听说邮政储蓄的理财产品不错，但我打开看了一下，收益率也就4%左右，感觉没有特别吸引人的地方，可能要多比较几家了。,0
223,我选择了浦发的家居贷款，额度高达50万，利率只要4.8%，真是多亏了当初好的信用记录，不然也贷不下来，正在装修中，心里倍儿开心！,1
224,我办了工商银行的基金理财产品，投资门槛低，也没有强制买入额，最近看到收益波动有点大，但总的来说还是比较稳健的，继续观察吧。,2
225,建行的活期存款利率实在太低，才0.3%，放在这里真的不划算，感觉钱不值钱了。,1
